N / results, computed2, real2, computed3, real3, computed7, real7
100000, 3.13668, 3.14159262, 4.17808, 4.18879016, 4.59392, 4.724765819
400000, 3.14428, 3.14159262, 4.17662, 4.18879016, 4.71648, 4.724765819
700000, 3.139491429, 3.14159262, 4.1728, 4.18879016, 4.726674286, 4.724765819
1000000, 3.141652, 3.14159262, 4.183888, 4.18879016, 4.735488, 4.724765819
1300000, 3.137452308, 3.14159262, 4.183593846, 4.18879016, 4.743876923, 4.724765819
1600000, 3.1375825, 3.14159262, 4.17875, 4.18879016, 4.74184, 4.724765819
1900000, 3.13668, 3.14159262, 4.179591579, 4.18879016, 4.779048421, 4.724765819
2200000, 3.139265455, 3.14159262, 4.177141818, 4.18879016, 4.736698182, 4.724765819
2500000, 3.1392608, 3.14159262, 4.18112, 4.18879016, 4.7616, 4.724765819
2800000, 3.135757143, 3.14159262, 4.180522857, 4.18879016, 4.750491429, 4.724765819
